column,missing_count_train,missing_percent_train,missing_count_test,missing_percent_test,missing_percent_gap
id,0,0.0,0.0,0.0,0.0
annual_income,0,0.0,0.0,0.0,0.0
debt_to_income_ratio,0,0.0,0.0,0.0,0.0
credit_score,0,0.0,0.0,0.0,0.0
loan_amount,0,0.0,0.0,0.0,0.0
interest_rate,0,0.0,0.0,0.0,0.0
gender,0,0.0,0.0,0.0,0.0
marital_status,0,0.0,0.0,0.0,0.0
education_level,0,0.0,0.0,0.0,0.0
employment_status,0,0.0,0.0,0.0,0.0
loan_purpose,0,0.0,0.0,0.0,0.0
grade_subgrade,0,0.0,0.0,0.0,0.0
loan_paid_back,0,0.0,,,
